TICKER,DATA,VOLUME,FECHAMENTO_AJUSTADO,ROIC,VALOR_MERCADO,EBIT_EV
AALR3,12/31/2016,5375545,14.45,0.0589,731381619,0.08785
AALR3,1/31/2017,3116406,13.75,0.0589,700428950,0.09011
AALR3,2/28/2017,3077805,12.56,0.0589,636027428,0.09519
AALR3,3/31/2017,3141709,15.41,0.05517,1700501752,0.05008
AALR3,4/30/2017,6444929,18.32,0.05517,2134819091,0.04118
AALR3,5/31/2017,14932008,17.49,0.05656,2068177806,0.04117
AALR3,6/30/2017,6391038,17.3,0.05656,2000387533,0.04232
AALR3,7/31/2017,1603211,16.81,0.05656,1941789162,0.04336
AALR3,8/31/2017,2219898,16.17,0.06155,1951831464,0.04609
AALR3,9/30/2017,4550730,16.8,0.06155,2015709585,0.0449
AALR3,10/31/2017,7850458,16.12,0.06155,1935270470,0.04641
AALR3,11/30/2017,4319884,14.89,0.06408,1833538648,0.05078
AALR3,12/31/2017,13436527,14.6,0.06408,1750733677,0.05268
AALR3,1/31/2018,6017472,14.73,0.06408,1772026384,0.05218
AALR3,2/28/2018,2569919,15.25,0.06408,1833538648,0.05078
AALR3,3/31/2018,3397718,15.88,0.04969,1904514338,0.02916
AALR3,4/30/2018,381066,14.31,0.04969,1727075114,0.03147
AALR3,5/31/2018,4160474,13.12,0.05303,1573294453,0.03626
AALR3,6/30/2018,6552207,12.9,0.05303,1547270033,0.0367
AALR3,7/31/2018,1916864,13.01,0.05303,1541355392,0.03681
AALR3,8/31/2018,6691533,12.5,0.05325,1484574841,0.03665
AALR3,9/30/2018,1327748,11.52,0.05325,1381660091,0.03861
AALR3,10/31/2018,2971911,11.81,0.05325,1407684510,0.0381
AALR3,11/30/2018,3811221,12.89,0.05195,1535440752,0.0346
AALR3,12/31/2018,3042992,13.13,0.05195,1574477381,0.03397
AALR3,1/31/2019,3073351,15.48,0.05195,1819343510,0.03049
AALR3,2/28/2019,1753188,15.58,0.05195,1879672846,0.02974
AALR3,3/31/2019,3036178,14.32,0.06236,1717611688,0.06102
AALR3,4/30/2019,2569789,14.87,0.06236,1795684947,0.05897
AALR3,5/31/2019,1586619,13.9,0.0652,1672660418,0.06377
AALR3,6/30/2019,10832812,14.3,0.0652,1705782407,0.06283
AALR3,7/31/2019,2810704,14.67,0.0652,1793319091,0.06048
AALR3,8/31/2019,4488459,18.99,0.06853,2265307426,0.05287
AALR3,9/30/2019,2138376,19.09,0.06853,2274770852,0.05269
AALR3,10/31/2019,2187648,17.95,0.06853,2076038921,0.0567
AALR3,11/30/2019,3491698,18.54,0.06919,2210892731,0.05544
AALR3,12/31/2019,6683463,18.01,0.06919,2148197539,0.05673
AALR3,1/31/2020,10443252,20.85,0.06919,2564588251,0.04913
AALR3,2/29/2020,7727571,18.7,0.06919,2229819582,0.05506
AALR3,3/31/2020,5112705,8.93,0.06565,1098940261,0.08777
AALR3,4/30/2020,6675878,10.49,0.06565,1242074568,0.08066
AALR3,5/31/2020,12307047,10.2,0.04359,1206586723,0.05939
AALR3,6/30/2020,8001607,10.29,0.04359,1204220867,0.05947
AALR3,7/31/2020,10699641,11.36,0.04359,1386391804,0.05392
AALR3,8/31/2020,5843390,11.99,-0.0043,1381660091,0.00312
AALR3,9/30/2020,3763596,10.15,-0.0043,1206586723,0.00343
AALR3,10/31/2020,5108582,9.68,-0.0043,1145074459,0.00355
AALR3,11/30/2020,4815164,10.84,-0.01554,1318964898,-0.0077
AALR3,12/31/2020,3639217,11.1,-0.01554,1313050258,-0.00772
AALR3,1/31/2021,3089362,10.69,-0.01554,1264550203,-0.00792
AALR3,2/28/2021,8184369,9.01,-0.01554,1065818272,-0.00888
AALR3,3/31/2021,3777238,9,-0.01412,1064635344,-0.0056
AALR3,4/30/2021,5751637,8.84,-0.01412,1057537775,-0.00562
AALR3,5/31/2021,34308663,12.27,0.00201,1352086887,0.01305
AALR3,6/30/2021,26388985,11.76,0.00201,1334342964,0.01317
AALR3,7/31/2021,6605089,10.14,0.00201,1199489154,0.01417
AALR3,8/31/2021,59996982,12.66,0.05101,1803965444,0.05147
AALR3,9/30/2021,7358156,11.55,0.05101,1360367384,0.06331
AALR3,10/31/2021,10971561,14.8,0.05101,1750733677,0.05266
AALR3,11/30/2021,21903202,18.5,0.06145,2147014610,0.05177
AALR3,12/31/2021,16435170,14.97,0.06145,1770843456,0.05994
AALR3,1/31/2022,7399741,16.5,0.06145,1890319200,0.05708
AALR3,2/28/2022,8184943,16.95,0.06145,2005063231,0.05458
AALR3,3/31/2022,7540347,17.95,0.04413,2150563395,0.03148
AALR3,4/30/2022,14055007,19.41,0.04413,2296063559,0.02992
AALR3,5/31/2022,9986892,20.01,0.0397,2370588033,0.02137
AALR3,6/30/2022,10370166,19.51,0.0397,2292514774,0.02193
AALR3,7/31/2022,6754188,20.59,0.0397,2435649081,0.02093
AALR3,8/31/2022,3090715,20.1,0.03917,2377685602,0.01688
AALR3,9/30/2022,3670541,20.98,0.03917,2493612561,0.01624
AALR3,10/31/2022,6064344,21.19,0.03917,2500710130,0.0162
AALR3,11/30/2022,13257085,20.2,0.01283,2403710021,-0.00122
AALR3,12/31/2022,18754418,21.6,0.01283,2555124826,-0.00116
AALR3,1/31/2023,6634724,21.39,0.01283,2531466262,-0.00117
AALR3,2/28/2023,55889576,20.75,0.01283,2423819800,-0.00121
AALR3,3/31/2023,2979082,22.53,-0.00895,2668685929,-0.00919
AALR3,4/30/2023,6998537,22.85,-0.00895,2702990846,-0.0091
AALR3,5/31/2023,6093769,22.99,-0.0108,2700624989,-0.00478
AALR3,6/30/2023,9959410,23.8,-0.0108,2797625098,-0.00465
AALR3,7/31/2023,8068415,24.15,-0.0108,2862686147,-0.00457
AALR3,8/31/2023,2559373,8.01,-0.01982,1003123080,-0.0065
AALR3,9/30/2023,1602249,9.77,-0.01982,1155720812,-0.00602
AALR3,10/18/2023,5401634,8.63,-0.01982,1137976890,-0.00607
ABEV3,11/30/2013,95335472,16.67,0.00282,1.70E+11,0.00395
ABEV3,12/31/2013,66398512,16.45,0.00282,1.68E+11,0.00401
ABEV3,1/31/2014,210965109,15.28,0.00282,1.54E+11,0.00438
ABEV3,2/28/2014,226621184,16.03,0.27548,2.64E+11,0.06016
ABEV3,3/31/2014,211706611,16.09,0.27548,2.65E+11,0.05994
ABEV3,4/30/2014,640093516,15.48,0.27548,2.68E+11,0.05919
ABEV3,5/31/2014,226051528,15.06,0.30966,2.48E+11,0.0648
ABEV3,6/30/2014,161325772,14.96,0.30966,2.43E+11,0.06616
ABEV3,7/31/2014,318566498,14.88,0.30966,2.57E+11,0.06263
ABEV3,8/31/2014,351019344,15.48,0.30505,2.55E+11,0.06303
ABEV3,9/30/2014,184957884,15.23,0.30505,2.53E+11,0.06358
ABEV3,10/31/2014,416493175,15.57,0.30505,2.46E+11,0.06544
ABEV3,11/30/2014,162076191,16,0.30065,2.65E+11,0.06003
ABEV3,12/31/2014,153934228,15.52,0.30065,2.57E+11,0.06189
ABEV3,1/31/2015,328603403,16.74,0.30065,2.77E+11,0.05734
ABEV3,2/28/2015,356119901,17.41,0.29908,2.88E+11,0.05651
ABEV3,3/31/2015,156814881,17.52,0.29908,2.93E+11,0.05558
ABEV3,4/30/2015,174215706,17.98,0.29908,2.96E+11,0.055
ABEV3,5/31/2015,356731232,17.47,0.29335,2.89E+11,0.05891
ABEV3,6/30/2015,370093780,18.14,0.29335,2.99E+11,0.05701
ABEV3,7/31/2015,255624057,18.48,0.30368,2.97E+11,0.05844
ABEV3,8/31/2015,424092883,18.13,0.30368,3.02E+11,0.05754
ABEV3,9/30/2015,240243710,18.44,0.30368,3.04E+11,0.05706
ABEV3,10/31/2015,228005424,18.13,0.28202,3.00E+11,0.06083
ABEV3,11/30/2015,744604630,17.7,0.28202,2.92E+11,0.06258
ABEV3,12/31/2015,217975101,16.95,0.28202,2.81E+11,0.06517
ABEV3,1/31/2016,380775815,17.72,0.28202,2.93E+11,0.06227
ABEV3,2/29/2016,271527092,16.75,0.28085,2.77E+11,0.07038
ABEV3,3/31/2016,314754852,17.87,0.28085,3.01E+11,0.0646
ABEV3,4/30/2016,461473733,18.41,0.28085,3.05E+11,0.06377
ABEV3,5/31/2016,415126791,18.15,0.29762,3.01E+11,0.06289
ABEV3,6/30/2016,291170434,18.09,0.29762,2.99E+11,0.06332
ABEV3,7/31/2016,613805221,17.85,0.31968,2.95E+11,0.06469
ABEV3,8/31/2016,338000332,18.22,0.31968,3.02E+11,0.0632
ABEV3,9/30/2016,173780407,18.82,0.31968,3.10E+11,0.06165
ABEV3,10/31/2016,332650611,17.88,0.30744,3.00E+11,0.06021
ABEV3,11/30/2016,351872295,16.28,0.30744,2.68E+11,0.0675
ABEV3,12/31/2016,141594505,15.57,0.30744,2.58E+11,0.07025
ABEV3,1/31/2017,120859968,16.33,0.30744,2.67E+11,0.06786
ABEV3,2/28/2017,231879977,16.94,0.30744,2.80E+11,0.06451
ABEV3,3/31/2017,224367805,17.32,0.3225,2.87E+11,0.06013
ABEV3,4/30/2017,191869992,17.34,0.3225,2.87E+11,0.06016
ABEV3,5/31/2017,287321166,17.77,0.29514,2.95E+11,0.05525
ABEV3,6/30/2017,127741074,17.39,0.29514,2.87E+11,0.05689
ABEV3,7/31/2017,292774206,18.18,0.28607,3.00E+11,0.0538
ABEV3,8/31/2017,222493426,18.86,0.28607,3.12E+11,0.05167
ABEV3,9/30/2017,277743699,19.98,0.28607,3.31E+11,0.04878
ABEV3,10/31/2017,301583594,19.84,0.2399,3.29E+11,0.05063
ABEV3,11/30/2017,505599229,19.52,0.2399,3.23E+11,0.05163
ABEV3,12/31/2017,210862021,20.21,0.2399,3.34E+11,0.04986
ABEV3,1/31/2018,270010818,20.84,0.2399,3.44E+11,0.0485
ABEV3,2/28/2018,1383918081,20.89,0.2399,3.49E+11,0.04772
ABEV3,3/31/2018,299976348,22.85,0.22448,3.78E+11,0.04433
ABEV3,4/30/2018,142449119,22.15,0.22448,3.64E+11,0.04607
ABEV3,5/31/2018,640477520,18.7,0.20879,3.10E+11,0.05451
ABEV3,6/30/2018,240442921,17.07,0.20879,2.83E+11,0.05976
ABEV3,7/31/2018,254926489,18.43,0.20539,3.10E+11,0.05689
ABEV3,8/31/2018,502049896,17.9,0.20539,2.99E+11,0.05903
ABEV3,9/30/2018,165995926,17.41,0.20539,2.88E+11,0.0612
ABEV3,10/31/2018,441077040,15.51,0.22561,2.52E+11,0.06957
ABEV3,11/30/2018,590720096,16.07,0.22561,2.62E+11,0.06703
ABEV3,12/31/2018,239328401,14.6,0.22561,2.42E+11,0.07269
ABEV3,1/31/2019,401957579,16.63,0.22561,2.83E+11,0.06194
ABEV3,2/28/2019,873194161,16.36,0.22561,2.89E+11,0.06059
ABEV3,3/31/2019,266746723,15.98,0.25347,2.65E+11,0.06649
ABEV3,4/30/2019,462254186,17.54,0.25347,2.89E+11,0.0608
ABEV3,5/31/2019,403790274,16.66,0.23538,2.74E+11,0.06473
ABEV3,6/30/2019,309726253,16.99,0.23538,2.81E+11,0.06302
